disc ddif ddnorm dratio delift dolift MInorm
-1 -0.556 -1 0 0 0 0.158
-0.9 -0.5 -0.9 0.091 0.1 0.043 0.114
-0.8 -0.445 -0.801 0.183 0.199 0.093 0.085
-0.7 -0.39 -0.703 0.276 0.297 0.149 0.063
-0.6 -0.333 -0.6 0.375 0.4 0.219 0.045
-0.5 -0.276 -0.496 0.477 0.504 0.302 0.03
-0.4 -0.223 -0.402 0.573 0.598 0.391 0.019
-0.3 -0.167 -0.301 0.676 0.699 0.503 0.011
-0.2 -0.109 -0.196 0.787 0.804 0.644 0.005
-0.1 -0.056 -0.101 0.889 0.899 0.8 0.001
0 -0.001 -0.002 0.997 0.998 0.997 0
0.1 0.058 0.104 1.117 1.104 1.262 0.001
0.2 0.114 0.204 1.232 1.204 1.588 0.005
0.3 0.166 0.298 1.343 1.298 1.983 0.011
0.4 0.225 0.405 1.471 1.405 2.591 0.02
0.5 0.278 0.501 1.589 1.501 3.37 0.031
0.6 0.332 0.598 1.712 1.598 4.56 0.045
0.7 0.389 0.7 1.844 1.7 6.655 0.063
0.8 0.444 0.799 1.974 1.799 9 0.085
0.9 0.5 0.9 2.111 1.9 9 0.114
1 0.556 1 2.25 2 9 0.158
